Rank,Release Group,Worldwide,Foreign,Local,% Foreign,% Local
1,Top Gun: Maverick,"$1,485,688,413","$769,100,000","$716,588,413",48.2,51.8
2,Jurassic World Dominion,"$1,001,136,080","$625,127,000","$376,009,080",37.6,62.4
3,Doctor Strange in the Multiverse of Madness,"$955,775,804","$544,444,197","$411,331,607",43,57
4,Minions: The Rise of Gru,"$934,887,195","$565,897,000","$368,990,195",39.5,60.5
5,The Batman,"$770,836,163","$401,490,580","$369,345,583",47.9,52.1
6,Thor: Love and Thunder,"$760,755,255","$417,498,425","$343,256,830",45.1,54.9
7,Water Gate Bridge,"$626,571,688","$626,454,394","$117,294",0,100
8,Fantastic Beasts: The Secrets of Dumbledore,"$405,161,334","$309,310,490","$95,850,844",23.7,76.3
9,Sonic the Hedgehog 2,"$401,872,904","$211,000,000","$190,872,904",47.5,52.5
10,Uncharted,"$401,748,820","$253,100,000","$148,648,820",37,63
11,Elvis,"$286,040,048","$135,000,000","$151,040,048",52.8,47.2
12,Black Adam,"$250,210,807","$139,300,000","$110,910,807",44.3,55.7
13,The Bad Guys,"$248,048,150","$151,112,000","$96,936,150",39.1,60.9
14,Bullet Train,"$239,260,044","$135,900,000","$103,360,044",43.2,56.8
15,Lightyear,"$226,425,420","$108,118,232","$118,307,188",52.2,47.8
16,Too Cool to Kill,"$217,254,604","$217,068,722","$185,882",0,99.9
17,Nice View,"$211,019,042","$211,019,042",$0,0,100
18,DC League of Super-Pets,"$203,640,004","$110,200,000","$93,440,004",45.9,54.1
19,The Lost City,"$190,844,029","$85,500,000","$105,344,029",55.2,44.8
20,Smile,"$186,869,617","$94,100,000","$92,769,617",49.6,50.4
21,Nope,"$170,823,080","$47,546,000","$123,277,080",72.2,27.8
22,Morbius,"$167,460,961","$93,595,431","$73,865,530",44.1,55.9
23,The Black Phone,"$159,568,230","$69,681,000","$89,887,230",56.3,43.7
24,Scream,"$140,041,405","$58,400,000","$81,641,405",58.3,41.7
25,Death on the Nile,"$137,307,235","$91,677,131","$45,630,104",33.2,66.8
26,Where the Crawdads Sing,"$136,930,760","$46,700,000","$90,230,760",65.9,34.1
27,One Piece Film: Red,"$129,514,058","$129,514,058",$0,0,100
28,Ticket to Paradise,"$119,559,000","$85,975,000","$33,584,000",28.1,71.9
29,Everything Everywhere All at Once,"$101,356,289","$31,347,696","$70,008,593",69.1,30.9
30,The Roundup,"$101,146,507","$100,333,648","$812,859",0.8,99.2
31,RRR,"$99,747,184","$88,634,184","$11,113,000",11.1,88.9
32,Halloween Ends,"$95,343,375","$34,790,000","$60,553,375",63.5,36.5
