Bank Name ,City ,State ,Cert ,Acquiring Institution ,Closing Date ,Fund
Almena State Bank,Almena,KS,15426,Equity Bank,23-Oct-20,10538
First City Bank of Florida,Fort Walton Beach,FL,16748,"United Fidelity Bank, fsb",16-Oct-20,10537
The First State Bank,Barboursville,WV,14361,"MVB Bank, Inc.",3-Apr-20,10536
Ericson State Bank,Ericson,NE,18265,Farmers and Merchants Bank,14-Feb-20,10535
City National Bank of New Jersey,Newark,NJ,21111,Industrial Bank,1-Nov-19,10534
Resolute Bank,Maumee,OH,58317,Buckeye State Bank,25-Oct-19,10533
Louisa Community Bank,Louisa,KY,58112,Kentucky Farmers Bank Corporation,25-Oct-19,10532
The Enloe State Bank,Cooper,TX,10716,"Legend Bank, N. A.",31-May-19,10531
Washington Federal Bank for Savings,Chicago,IL,30570,Royal Savings Bank,15-Dec-17,10530
The Farmers and Merchants State Bank of Argonia,Argonia,KS,17719,Conway Bank,13-Oct-17,10529
Fayette County Bank,Saint Elmo,IL,1802,"United Fidelity Bank, fsb",26-May-17,10528
"Guaranty Bank, (d/b/a BestBank in Georgia & Michigan)",Milwaukee,WI,30003,First-Citizens Bank & Trust Company,5-May-17,10527
First NBC Bank,New Orleans,LA,58302,Whitney Bank,28-Apr-17,10526
Proficio Bank,Cottonwood Heights,UT,35495,Cache Valley Bank,3-Mar-17,10525
Seaway Bank and Trust Company,Chicago,IL,19328,State Bank of Texas,27-Jan-17,10524
Harvest Community Bank,Pennsville,NJ,34951,First-Citizens Bank & Trust Company,13-Jan-17,10523
Allied Bank,Mulberry,AR,91,Today's Bank,23-Sep-16,10522
The Woodbury Banking Company,Woodbury,GA,11297,United Bank,19-Aug-16,10521
First CornerStone Bank,King of Prussia,PA,35312,First-Citizens Bank & Trust Company,6-May-16,10520
Trust Company Bank,Memphis,TN,9956,The Bank of Fayette County,29-Apr-16,10519
North Milwaukee State Bank,Milwaukee,WI,20364,First-Citizens Bank & Trust Company,11-Mar-16,10518
Hometown National Bank,Longview,WA,35156,Twin City Bank,2-Oct-15,10517
The Bank of Georgia,Peachtree City,GA,35259,Fidelity Bank,2-Oct-15,10516
Premier Bank,Denver,CO,34112,"United Fidelity Bank, fsb",10-Jul-15,10515
Edgebrook Bank,Chicago,IL,57772,Republic Bank of Chicago,8-May-15,10514
Doral Bank,San Juan,PR,32102,Banco Popular de Puerto Rico,27-Feb-15,10513
Capitol City Bank & Trust Company,Atlanta,GA,33938,First-Citizens Bank & Trust Company,13-Feb-15,10512
Highland Community Bank,Chicago,IL,20290,"United Fidelity Bank, fsb",23-Jan-15,10511
First National Bank of Crestview,Crestview,FL,17557,First NBC Bank,16-Jan-15,10510
Northern Star Bank,Mankato,MN,34983,BankVista,19-Dec-14,10509
"Frontier Bank, FSB D/B/A El Paseo Bank",Palm Desert,CA,34738,"Bank of Southern California, N.A.",7-Nov-14,10508
The National Republic Bank of Chicago,Chicago,IL,916,State Bank of Texas,24-Oct-14,10507
NBRS Financial,Rising Sun,MD,4862,Howard Bank,17-Oct-14,10506
"GreenChoice Bank, fsb",Chicago,IL,28462,"Providence Bank, LLC",25-Jul-14,10505
Eastside Commercial Bank,Conyers,GA,58125,Community & Southern Bank,18-Jul-14,10504
The Freedom State Bank,Freedom,OK,12483,Alva State Bank & Trust Company,27-Jun-14,10503
Valley Bank,Fort Lauderdale,FL,21793,"Landmark Bank, National Association",20-Jun-14,10501
Valley Bank,Moline,IL,10450,Great Southern Bank,20-Jun-14,10502
Slavie Federal Savings Bank,Bel Air,MD,32368,"Bay Bank, FSB",30-May-14,10500
Columbia Savings Bank,Cincinnati,OH,32284,"United Fidelity Bank, fsb",23-May-14,10499
AztecAmerica Bank,Berwyn,IL,57866,Republic Bank of Chicago,16-May-14,10498
Allendale County Bank,Fairfax,SC,15062,Palmetto State Bank,25-Apr-14,10497
Vantage Point Bank,Horsham,PA,58531,First Choice Bank,28-Feb-14,10496
"Millennium Bank, National Association",Sterling,VA,35096,WashingtonFirst Bank,28-Feb-14,10495
Syringa Bank,Boise,ID,34296,Sunwest Bank,31-Jan-14,10494
The Bank of Union,El Reno,OK,17967,BancFirst,24-Jan-14,10493
DuPage National Bank,West Chicago,IL,5732,Republic Bank of Chicago,17-Jan-14,10492
"Texas Community Bank, National Association",The Woodlands,TX,57431,"Spirit of Texas Bank, SSB",13-Dec-13,10491
Bank of Jackson County,Graceville,FL,14794,First Federal Bank of Florida,30-Oct-13,10490
First National Bank also operating as The National Bank of El Paso,Edinburg,TX,14318,PlainsCapital Bank,13-Sep-13,10488
The Community's Bank,Bridgeport,CT,57041,No Acquirer,13-Sep-13,10489
Sunrise Bank of Arizona,Phoenix,AZ,34707,"First Fidelity Bank, National Association",23-Aug-13,10487
